## Hello World             
# label: %title%<br><i style="color:gray;">%text%</i>             
# style: html=1;shape=rectangle;rounded=1;fillColor=%fill%;strokeColor=%fill%             
# namespace: csvimport-             
# connect: {"from":"refs", "to":"id", "invert":true, "style":"curved=0;endArrow=blockThin;endFill=1;"}             
# width: auto             
# height: auto             
# padding: 10             
# ignore: id,fill,refs             
# nodespacing: 10             
# levelspacing: 30             
# edgespacing: 40             
# layout: horizontalflow             
## CSV starts under this line             
id,title,text,fill,refs             
 
1a-1,InputPlaceholder,,#dae8fc,""
1a8,random_horizontal_flip,,#dae8fc,"1a-1"
1a15,Output,,#dae8fc,"1a8"
1b-1,InputPlaceholder,,#f8cecc,"1a15"
1b0,ceil_greyscale_norm,,#f8cecc,"1b-1"
1b1,Output,,#f8cecc,"1b0"
1c-1,InputPlaceholder,,#d5e8d4,"1b1"
1c1,avg_pool_layer,,#d5e8d4,"1c-1"
1c2,conv_layer,,#d5e8d4,"1c1"
1c7,max_pool_layer,,#d5e8d4,"1c2"
1c9,avg_pool_layer,,#d5e8d4,"1c7"
1c11,conv_layer,,#d5e8d4,"1c9"
1c19,sum_func,,#d5e8d4,"1c11,1c11"
1c25,Output,,#d5e8d4,"1c19"
1END,"Fitness: (0.6016,0.3986231306648532)",,#ffe6cc,"1c25"
2a-1,InputPlaceholder,,#dae8fc,""
2a4,random_horizontal_flip,,#dae8fc,"2a-1"
2a8,random_horizontal_flip,,#dae8fc,"2a4"
2a15,Output,,#dae8fc,"2a8"
2b-1,InputPlaceholder,,#f8cecc,"2a15"
2b0,ceil_greyscale_norm,,#f8cecc,"2b-1"
2b1,Output,,#f8cecc,"2b0"
2c-1,InputPlaceholder,,#d5e8d4,"2b1"
2c3,conv_block,,#d5e8d4,"2c-1"
2c4,concat_func,,#d5e8d4,"2c3,2c-1"
2c6,input_layer,,#d5e8d4,"2c4"
2c7,max_pool_layer,,#d5e8d4,"2c6"
2c9,max_pool_layer,,#d5e8d4,"2c7"
2c11,conv_layer,,#d5e8d4,"2c9"
2c19,concat_func,,#d5e8d4,"2c11,2c11"
2c25,Output,,#d5e8d4,"2c19"
2END,"Fitness: (0.5952,0.41140516273141503)",,#ffe6cc,"2c25"
3a-1,InputPlaceholder,,#dae8fc,""
3a1,random_horizontal_flip,,#dae8fc,"3a-1"
3a5,random_horizontal_flip,,#dae8fc,"3a1"
3a8,random_horizontal_flip,,#dae8fc,"3a5"
3a15,Output,,#dae8fc,"3a8"
3b-1,InputPlaceholder,,#f8cecc,"3a15"
3b0,ceil_greyscale_norm,,#f8cecc,"3b-1"
3b1,Output,,#f8cecc,"3b0"
3c-1,InputPlaceholder,,#d5e8d4,"3b1"
3c1,conv_block,,#d5e8d4,"3c-1"
3c2,avg_pool_layer,,#d5e8d4,"3c1"
3c3,conv_block,,#d5e8d4,"3c-1"
3c4,concat_func,,#d5e8d4,"3c3,3c-1"
3c7,max_pool_layer,,#d5e8d4,"3c2"
3c9,sum_func,,#d5e8d4,"3c7,3c4"
3c11,conv_layer,,#d5e8d4,"3c9"
3c19,concat_func,,#d5e8d4,"3c11,3c11"
3c25,Output,,#d5e8d4,"3c19"
3END,"Fitness: (0.5888,0.4126250743114045)",,#ffe6cc,"3c25"
4a-1,InputPlaceholder,,#dae8fc,""
4a1,random_horizontal_flip,,#dae8fc,"4a-1"
4a4,random_horizontal_flip,,#dae8fc,"4a1"
4a8,random_horizontal_flip,,#dae8fc,"4a4"
4a15,Output,,#dae8fc,"4a8"
4b-1,InputPlaceholder,,#f8cecc,"4a15"
4b0,ceil_greyscale_norm,,#f8cecc,"4b-1"
4b1,Output,,#f8cecc,"4b0"
4c-1,InputPlaceholder,,#d5e8d4,"4b1"
4c0,max_pool_layer,,#d5e8d4,"4c-1"
4c4,conv_layer,,#d5e8d4,"4c0"
4c7,max_pool_layer,,#d5e8d4,"4c0"
4c9,sum_func,,#d5e8d4,"4c7,4c4"
4c11,conv_layer,,#d5e8d4,"4c9"
4c19,res_block,,#d5e8d4,"4c11"
4c25,Output,,#d5e8d4,"4c19"
4END,"Fitness: (0.5874,0.4165299932104394)",,#ffe6cc,"4c25"
5a-1,InputPlaceholder,,#dae8fc,""
5a4,random_horizontal_flip,,#dae8fc,"5a-1"
5a8,add_salt_pepper_noise,,#dae8fc,"5a4"
5a15,Output,,#dae8fc,"5a8"
5b-1,InputPlaceholder,,#f8cecc,"5a15"
5b0,ceil_greyscale_norm,,#f8cecc,"5b-1"
5b1,Output,,#f8cecc,"5b0"
5c-1,InputPlaceholder,,#d5e8d4,"5b1"
5c1,conv_block,,#d5e8d4,"5c-1"
5c2,conv_layer,,#d5e8d4,"5c1"
5c9,max_pool_layer,,#d5e8d4,"5c2"
5c11,conv_block,,#d5e8d4,"5c9"
5c19,res_block,,#d5e8d4,"5c11"
5c25,Output,,#d5e8d4,"5c19"
5END,"Fitness: (0.5808,0.4168562131078829)",,#ffe6cc,"5c25"
6a-1,InputPlaceholder,,#dae8fc,""
6a0,random_horizontal_flip,,#dae8fc,"6a-1"
6a6,add_salt_pepper_noise,,#dae8fc,"6a0"
6a15,Output,,#dae8fc,"6a6"
6b-1,InputPlaceholder,,#f8cecc,"6a15"
6b0,ceil_greyscale_norm,,#f8cecc,"6b-1"
6b1,Output,,#f8cecc,"6b0"
6c-1,InputPlaceholder,,#d5e8d4,"6b1"
6c1,avg_pool_layer,,#d5e8d4,"6c-1"
6c3,conv_block,,#d5e8d4,"6c-1"
6c4,concat_func,,#d5e8d4,"6c3,6c1"
6c5,sum_func,,#d5e8d4,"6c-1,6c-1"
6c7,max_pool_layer,,#d5e8d4,"6c5"
6c9,sum_func,,#d5e8d4,"6c7,6c4"
6c11,conv_block,,#d5e8d4,"6c9"
6c19,res_block,,#d5e8d4,"6c11"
6c25,Output,,#d5e8d4,"6c19"
6END,"Fitness: (0.5838,0.420495175218653)",,#ffe6cc,"6c25"
7a-1,InputPlaceholder,,#dae8fc,""
7a0,random_horizontal_flip,,#dae8fc,"7a-1"
7a6,add_salt_pepper_noise,,#dae8fc,"7a0"
7a15,Output,,#dae8fc,"7a6"
7b-1,InputPlaceholder,,#f8cecc,"7a15"
7b0,ceil_greyscale_norm,,#f8cecc,"7b-1"
7b1,Output,,#f8cecc,"7b0"
7c-1,InputPlaceholder,,#d5e8d4,"7b1"
7c1,avg_pool_layer,,#d5e8d4,"7c-1"
7c3,conv_block,,#d5e8d4,"7c-1"
7c4,concat_func,,#d5e8d4,"7c3,7c1"
7c5,sum_func,,#d5e8d4,"7c-1,7c-1"
7c7,max_pool_layer,,#d5e8d4,"7c5"
7c9,sum_func,,#d5e8d4,"7c7,7c4"
7c11,conv_block,,#d5e8d4,"7c9"
7c19,res_block,,#d5e8d4,"7c11"
7c25,Output,,#d5e8d4,"7c19"
7END,"Fitness: (0.5854,0.4213830278387526)",,#ffe6cc,"7c25"
8a-1,InputPlaceholder,,#dae8fc,""
8a0,add_salt_pepper_noise,,#dae8fc,"8a-1"
8a6,add_salt_pepper_noise,,#dae8fc,"8a0"
8a15,Output,,#dae8fc,"8a6"
8b-1,InputPlaceholder,,#f8cecc,"8a15"
8b0,ceil_greyscale_norm,,#f8cecc,"8b-1"
8b1,Output,,#f8cecc,"8b0"
8c-1,InputPlaceholder,,#d5e8d4,"8b1"
8c1,avg_pool_layer,,#d5e8d4,"8c-1"
8c2,avg_pool_layer,,#d5e8d4,"8c1"
8c7,max_pool_layer,,#d5e8d4,"8c2"
8c9,res_block,,#d5e8d4,"8c7"
8c11,conv_block,,#d5e8d4,"8c9"
8c19,res_block,,#d5e8d4,"8c11"
8c25,Output,,#d5e8d4,"8c19"
8END,"Fitness: (0.57,0.44505622798438704)",,#ffe6cc,"8c25"
9a-1,InputPlaceholder,,#dae8fc,""
9a0,add_salt_pepper_noise,,#dae8fc,"9a-1"
9a2,random_noise,,#dae8fc,"9a0"
9a8,random_horizontal_flip,,#dae8fc,"9a2"
9a15,Output,,#dae8fc,"9a8"
9b-1,InputPlaceholder,,#f8cecc,"9a15"
9b0,ceil_greyscale_norm,,#f8cecc,"9b-1"
9b1,Output,,#f8cecc,"9b0"
9c-1,InputPlaceholder,,#d5e8d4,"9b1"
9c0,max_pool_layer,,#d5e8d4,"9c-1"
9c2,avg_pool_layer,,#d5e8d4,"9c-1"
9c7,res_block,,#d5e8d4,"9c2"
9c9,sum_func,,#d5e8d4,"9c7,9c0"
9c11,conv_layer,,#d5e8d4,"9c9"
9c19,res_block,,#d5e8d4,"9c11"
9c25,Output,,#d5e8d4,"9c19"
9END,"Fitness: (0.5666,0.4438323794216148)",,#ffe6cc,"9c25"
10a-1,InputPlaceholder,,#dae8fc,""
10a0,random_horizontal_flip,,#dae8fc,"10a-1"
10a6,add_salt_pepper_noise,,#dae8fc,"10a0"
10a15,Output,,#dae8fc,"10a6"
10b-1,InputPlaceholder,,#f8cecc,"10a15"
10b0,ceil_greyscale_norm,,#f8cecc,"10b-1"
10b1,Output,,#f8cecc,"10b0"
10c-1,InputPlaceholder,,#d5e8d4,"10b1"
10c1,avg_pool_layer,,#d5e8d4,"10c-1"
10c3,conv_block,,#d5e8d4,"10c-1"
10c4,concat_func,,#d5e8d4,"10c3,10c1"
10c5,sum_func,,#d5e8d4,"10c-1,10c-1"
10c7,max_pool_layer,,#d5e8d4,"10c5"
10c9,sum_func,,#d5e8d4,"10c7,10c4"
10c11,conv_block,,#d5e8d4,"10c9"
10c19,res_block,,#d5e8d4,"10c11"
10c25,Output,,#d5e8d4,"10c19"
10END,"Fitness: (0.5618,0.45232879794586833)",,#ffe6cc,"10c25"
11a-1,InputPlaceholder,,#dae8fc,""
11a0,random_horizontal_flip,,#dae8fc,"11a-1"
11a9,add_salt_pepper_noise,,#dae8fc,"11a0"
11a12,random_horizontal_flip,,#dae8fc,"11a9"
11a15,Output,,#dae8fc,"11a12"
11b-1,InputPlaceholder,,#f8cecc,"11a15"
11b0,ceil_greyscale_norm,,#f8cecc,"11b-1"
11b1,Output,,#f8cecc,"11b0"
11c-1,InputPlaceholder,,#d5e8d4,"11b1"
11c1,avg_pool_layer,,#d5e8d4,"11c-1"
11c2,avg_pool_layer,,#d5e8d4,"11c1"
11c3,concat_func,,#d5e8d4,"11c-1,11c-1"
11c4,conv_layer,,#d5e8d4,"11c3"
11c7,max_pool_layer,,#d5e8d4,"11c2"
11c9,sum_func,,#d5e8d4,"11c7,11c4"
11c11,conv_layer,,#d5e8d4,"11c9"
11c19,res_block,,#d5e8d4,"11c11"
11c25,Output,,#d5e8d4,"11c19"
11END,"Fitness: (0.558,0.44537180265876364)",,#ffe6cc,"11c25"
12a-1,InputPlaceholder,,#dae8fc,""
12a2,random_noise,,#dae8fc,"12a-1"
12a3,add_salt_pepper_noise,,#dae8fc,"12a2"
12a4,random_horizontal_flip,,#dae8fc,"12a3"
12a15,Output,,#dae8fc,"12a4"
12b-1,InputPlaceholder,,#f8cecc,"12a15"
12b0,ceil_greyscale_norm,,#f8cecc,"12b-1"
12b1,Output,,#f8cecc,"12b0"
12c-1,InputPlaceholder,,#d5e8d4,"12b1"
12c1,avg_pool_layer,,#d5e8d4,"12c-1"
12c2,max_pool_layer,,#d5e8d4,"12c1"
12c3,concat_func,,#d5e8d4,"12c-1,12c-1"
12c4,conv_layer,,#d5e8d4,"12c3"
12c7,max_pool_layer,,#d5e8d4,"12c2"
12c9,sum_func,,#d5e8d4,"12c7,12c4"
12c11,conv_layer,,#d5e8d4,"12c9"
12c19,res_block,,#d5e8d4,"12c11"
12c25,Output,,#d5e8d4,"12c19"
12END,"Fitness: (0.5616,0.45241506865972636)",,#ffe6cc,"12c25"
